datetime_beginning_ept,total_lmp_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da
10/16/2017 4:00:00 PM,31.61,28.92,3.22,-0.53
10/16/2017 5:00:00 PM,32.62,30.87,2.44,-0.69
10/16/2017 6:00:00 PM,38.74,37.92,1.76,-0.94
10/16/2017 7:00:00 PM,42.74,42.31,1.55,-1.12
10/16/2017 8:00:00 PM,34.79,33.42,2.06,-0.69
10/16/2017 9:00:00 PM,28.97,27.59,1.98,-0.6
10/16/2017 10:00:00 PM,24.51,23.14,1.72,-0.35
10/16/2017 11:00:00 PM,23.25,21.7,1.84,-0.29
10/17/2017 12:00:00 AM,23.4,21.88,1.46,0.06
10/17/2017 1:00:00 AM,22.66,20.91,1.55,0.2
10/17/2017 2:00:00 AM,22.2,20.22,1.72,0.26
10/17/2017 3:00:00 AM,22.2,20.36,1.56,0.28
10/17/2017 4:00:00 AM,23.15,20.9,2,0.25
10/17/2017 5:00:00 AM,26.42,24.58,1.76,0.08
10/17/2017 6:00:00 AM,37.52,35.7,2.2,-0.38
10/17/2017 7:00:00 AM,43.42,42.05,1.85,-0.48
10/17/2017 8:00:00 AM,37.1,35.59,1.63,-0.12
10/17/2017 9:00:00 AM,35.82,34.36,1.63,-0.17
10/17/2017 10:00:00 AM,37.95,36.38,1.74,-0.17
10/17/2017 11:00:00 AM,34.31,32.92,1.5,-0.11
10/17/2017 12:00:00 PM,33.11,31.2,2.06,-0.15
10/17/2017 1:00:00 PM,31.74,29.94,1.94,-0.14
10/17/2017 2:00:00 PM,31.66,29.89,1.9,-0.13
10/17/2017 3:00:00 PM,31.35,29.57,1.91,-0.13
10/17/2017 4:00:00 PM,30.84,29.39,1.58,-0.13
10/17/2017 5:00:00 PM,31.26,30.16,1.21,-0.11
10/17/2017 6:00:00 PM,38.34,38.02,0.69,-0.37
10/17/2017 7:00:00 PM,42.19,41.37,1.29,-0.47
10/17/2017 8:00:00 PM,35.13,34.3,0.99,-0.16
10/17/2017 9:00:00 PM,29.2,28.4,0.86,-0.06
10/17/2017 10:00:00 PM,24.7,23.92,0.73,0.05
10/17/2017 11:00:00 PM,23.06,22.19,0.76,0.11
10/18/2017 12:00:00 AM,22.14,20.95,1.33,-0.14
10/18/2017 1:00:00 AM,21.93,20.52,1.52,-0.11
10/18/2017 2:00:00 AM,21.5,19.83,1.67,0
10/18/2017 3:00:00 AM,21.54,19.92,1.66,-0.04
10/18/2017 4:00:00 AM,22.19,19.79,2.51,-0.11
10/18/2017 5:00:00 AM,25.08,22.85,2.65,-0.42
10/18/2017 6:00:00 AM,40.3,37.98,3.26,-0.94
10/18/2017 7:00:00 AM,37.22,35.51,2.65,-0.94
10/18/2017 8:00:00 AM,33.05,31.05,2.55,-0.55
10/18/2017 9:00:00 AM,32.6,30.94,2.26,-0.6
10/18/2017 10:00:00 AM,32.29,30.83,1.95,-0.49
