datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
10/7/2017 12:00:00 PM,10/7/2017 8:00:00 AM,10/7/2017 1:00:00 PM,10/7/2017 9:00:00 AM,DAY,1670.4
10/7/2017 1:00:00 PM,10/7/2017 9:00:00 AM,10/7/2017 2:00:00 PM,10/7/2017 10:00:00 AM,DAY,1763.8
10/7/2017 2:00:00 PM,10/7/2017 10:00:00 AM,10/7/2017 3:00:00 PM,10/7/2017 11:00:00 AM,DAY,1865.7
10/7/2017 3:00:00 PM,10/7/2017 11:00:00 AM,10/7/2017 4:00:00 PM,10/7/2017 12:00:00 PM,DAY,1946.9
10/7/2017 4:00:00 PM,10/7/2017 12:00:00 PM,10/7/2017 5:00:00 PM,10/7/2017 1:00:00 PM,DAY,2011.3
10/7/2017 5:00:00 PM,10/7/2017 1:00:00 PM,10/7/2017 6:00:00 PM,10/7/2017 2:00:00 PM,DAY,2062.5
10/7/2017 6:00:00 PM,10/7/2017 2:00:00 PM,10/7/2017 7:00:00 PM,10/7/2017 3:00:00 PM,DAY,2099.1
10/7/2017 7:00:00 PM,10/7/2017 3:00:00 PM,10/7/2017 8:00:00 PM,10/7/2017 4:00:00 PM,DAY,2132.3
10/7/2017 8:00:00 PM,10/7/2017 4:00:00 PM,10/7/2017 9:00:00 PM,10/7/2017 5:00:00 PM,DAY,2150.1
10/7/2017 9:00:00 PM,10/7/2017 5:00:00 PM,10/7/2017 10:00:00 PM,10/7/2017 6:00:00 PM,DAY,2123.2
10/7/2017 10:00:00 PM,10/7/2017 6:00:00 PM,10/7/2017 11:00:00 PM,10/7/2017 7:00:00 PM,DAY,2083.2
10/7/2017 11:00:00 PM,10/7/2017 7:00:00 PM,10/8/2017 12:00:00 AM,10/7/2017 8:00:00 PM,DAY,2093.6
10/8/2017 12:00:00 AM,10/7/2017 8:00:00 PM,10/8/2017 1:00:00 AM,10/7/2017 9:00:00 PM,DAY,2063.2
10/8/2017 1:00:00 AM,10/7/2017 9:00:00 PM,10/8/2017 2:00:00 AM,10/7/2017 10:00:00 PM,DAY,2000.3
10/8/2017 2:00:00 AM,10/7/2017 10:00:00 PM,10/8/2017 3:00:00 AM,10/7/2017 11:00:00 PM,DAY,1865.9
10/8/2017 3:00:00 AM,10/7/2017 11:00:00 PM,10/8/2017 4:00:00 AM,10/8/2017 12:00:00 AM,DAY,1718.9
10/8/2017 4:00:00 AM,10/8/2017 12:00:00 AM,10/8/2017 5:00:00 AM,10/8/2017 1:00:00 AM,DAY,1605.8
