datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
10/7/2017 4:00:00 PM,10/7/2017 12:00:00 PM,10/7/2017 5:00:00 PM,10/7/2017 1:00:00 PM,ATSI,7606.9
10/7/2017 5:00:00 PM,10/7/2017 1:00:00 PM,10/7/2017 6:00:00 PM,10/7/2017 2:00:00 PM,ATSI,7796.9
10/7/2017 6:00:00 PM,10/7/2017 2:00:00 PM,10/7/2017 7:00:00 PM,10/7/2017 3:00:00 PM,ATSI,7850.6
10/7/2017 7:00:00 PM,10/7/2017 3:00:00 PM,10/7/2017 8:00:00 PM,10/7/2017 4:00:00 PM,ATSI,7964.1
10/7/2017 8:00:00 PM,10/7/2017 4:00:00 PM,10/7/2017 9:00:00 PM,10/7/2017 5:00:00 PM,ATSI,8090.3
10/7/2017 9:00:00 PM,10/7/2017 5:00:00 PM,10/7/2017 10:00:00 PM,10/7/2017 6:00:00 PM,ATSI,8088.4
10/7/2017 10:00:00 PM,10/7/2017 6:00:00 PM,10/7/2017 11:00:00 PM,10/7/2017 7:00:00 PM,ATSI,7932.1
10/7/2017 11:00:00 PM,10/7/2017 7:00:00 PM,10/8/2017 12:00:00 AM,10/7/2017 8:00:00 PM,ATSI,8010.5
10/8/2017 12:00:00 AM,10/7/2017 8:00:00 PM,10/8/2017 1:00:00 AM,10/7/2017 9:00:00 PM,ATSI,7995.6
10/8/2017 1:00:00 AM,10/7/2017 9:00:00 PM,10/8/2017 2:00:00 AM,10/7/2017 10:00:00 PM,ATSI,7724.8
10/8/2017 2:00:00 AM,10/7/2017 10:00:00 PM,10/8/2017 3:00:00 AM,10/7/2017 11:00:00 PM,ATSI,7369.9
10/8/2017 3:00:00 AM,10/7/2017 11:00:00 PM,10/8/2017 4:00:00 AM,10/8/2017 12:00:00 AM,ATSI,6958.2
10/8/2017 4:00:00 AM,10/8/2017 12:00:00 AM,10/8/2017 5:00:00 AM,10/8/2017 1:00:00 AM,ATSI,6517.8
10/8/2017 5:00:00 AM,10/8/2017 1:00:00 AM,10/8/2017 6:00:00 AM,10/8/2017 2:00:00 AM,ATSI,6260.8
10/8/2017 6:00:00 AM,10/8/2017 2:00:00 AM,10/8/2017 7:00:00 AM,10/8/2017 3:00:00 AM,ATSI,6060.2
10/8/2017 7:00:00 AM,10/8/2017 3:00:00 AM,10/8/2017 8:00:00 AM,10/8/2017 4:00:00 AM,ATSI,5789.9
10/8/2017 8:00:00 AM,10/8/2017 4:00:00 AM,10/8/2017 9:00:00 AM,10/8/2017 5:00:00 AM,ATSI,5723.4
10/8/2017 9:00:00 AM,10/8/2017 5:00:00 AM,10/8/2017 10:00:00 AM,10/8/2017 6:00:00 AM,ATSI,5726.2
10/8/2017 10:00:00 AM,10/8/2017 6:00:00 AM,10/8/2017 11:00:00 AM,10/8/2017 7:00:00 AM,ATSI,5788.7
10/8/2017 11:00:00 AM,10/8/2017 7:00:00 AM,10/8/2017 12:00:00 PM,10/8/2017 8:00:00 AM,ATSI,5867.9
10/8/2017 12:00:00 PM,10/8/2017 8:00:00 AM,10/8/2017 1:00:00 PM,10/8/2017 9:00:00 AM,ATSI,5983.5
10/8/2017 1:00:00 PM,10/8/2017 9:00:00 AM,10/8/2017 2:00:00 PM,10/8/2017 10:00:00 AM,ATSI,6325.1
10/8/2017 2:00:00 PM,10/8/2017 10:00:00 AM,10/8/2017 3:00:00 PM,10/8/2017 11:00:00 AM,ATSI,6558.6
10/8/2017 3:00:00 PM,10/8/2017 11:00:00 AM,10/8/2017 4:00:00 PM,10/8/2017 12:00:00 PM,ATSI,6697.6
10/8/2017 4:00:00 PM,10/8/2017 12:00:00 PM,10/8/2017 5:00:00 PM,10/8/2017 1:00:00 PM,ATSI,6885.6
10/8/2017 5:00:00 PM,10/8/2017 1:00:00 PM,10/8/2017 6:00:00 PM,10/8/2017 2:00:00 PM,ATSI,6951.2
10/8/2017 6:00:00 PM,10/8/2017 2:00:00 PM,10/8/2017 7:00:00 PM,10/8/2017 3:00:00 PM,ATSI,7022.7
10/8/2017 7:00:00 PM,10/8/2017 3:00:00 PM,10/8/2017 8:00:00 PM,10/8/2017 4:00:00 PM,ATSI,7026.0
10/8/2017 8:00:00 PM,10/8/2017 4:00:00 PM,10/8/2017 9:00:00 PM,10/8/2017 5:00:00 PM,ATSI,7006.4
