datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
7/4/2018 3:00:00 AM,7/3/2018 11:00:00 PM,RFC,WEST,AEP,AEPAPT,5046.969,True
7/4/2018 3:00:00 AM,7/3/2018 11:00:00 PM,RFC,WEST,AEP,AEPIMP,3644.200,True
7/4/2018 3:00:00 AM,7/3/2018 11:00:00 PM,RFC,WEST,AEP,AEPKPT,758.744,True
7/4/2018 3:00:00 AM,7/3/2018 11:00:00 PM,RFC,WEST,AEP,AEPOPT,7258.731,True
7/4/2018 4:00:00 AM,7/4/2018 12:00:00 AM,RFC,WEST,AEP,AEPAPT,4706.431,True
7/4/2018 4:00:00 AM,7/4/2018 12:00:00 AM,RFC,WEST,AEP,AEPIMP,3392.425,True
7/4/2018 4:00:00 AM,7/4/2018 12:00:00 AM,RFC,WEST,AEP,AEPKPT,710.086,True
7/4/2018 4:00:00 AM,7/4/2018 12:00:00 AM,RFC,WEST,AEP,AEPOPT,6686.714,True
7/4/2018 5:00:00 AM,7/4/2018 1:00:00 AM,RFC,WEST,AEP,AEPAPT,4422.360,True
7/4/2018 5:00:00 AM,7/4/2018 1:00:00 AM,RFC,WEST,AEP,AEPIMP,3195.122,True
7/4/2018 5:00:00 AM,7/4/2018 1:00:00 AM,RFC,WEST,AEP,AEPKPT,670.426,True
7/4/2018 5:00:00 AM,7/4/2018 1:00:00 AM,RFC,WEST,AEP,AEPOPT,6345.846,True
7/4/2018 6:00:00 AM,7/4/2018 2:00:00 AM,RFC,WEST,AEP,AEPAPT,4182.515,True
7/4/2018 6:00:00 AM,7/4/2018 2:00:00 AM,RFC,WEST,AEP,AEPIMP,3031.605,True
7/4/2018 6:00:00 AM,7/4/2018 2:00:00 AM,RFC,WEST,AEP,AEPKPT,644.866,True
7/4/2018 6:00:00 AM,7/4/2018 2:00:00 AM,RFC,WEST,AEP,AEPOPT,6035.231,True
7/4/2018 7:00:00 AM,7/4/2018 3:00:00 AM,RFC,WEST,AEP,AEPAPT,4025.374,True
7/4/2018 7:00:00 AM,7/4/2018 3:00:00 AM,RFC,WEST,AEP,AEPIMP,2953.721,True
7/4/2018 7:00:00 AM,7/4/2018 3:00:00 AM,RFC,WEST,AEP,AEPKPT,619.875,True
7/4/2018 7:00:00 AM,7/4/2018 3:00:00 AM,RFC,WEST,AEP,AEPOPT,5794.652,True
7/4/2018 8:00:00 AM,7/4/2018 4:00:00 AM,RFC,WEST,AEP,AEPAPT,3927.420,True
7/4/2018 8:00:00 AM,7/4/2018 4:00:00 AM,RFC,WEST,AEP,AEPIMP,2908.680,True
7/4/2018 8:00:00 AM,7/4/2018 4:00:00 AM,RFC,WEST,AEP,AEPKPT,611.634,True
7/4/2018 8:00:00 AM,7/4/2018 4:00:00 AM,RFC,WEST,AEP,AEPOPT,5685.368,True
7/4/2018 9:00:00 AM,7/4/2018 5:00:00 AM,RFC,WEST,AEP,AEPAPT,3905.080,True
7/4/2018 9:00:00 AM,7/4/2018 5:00:00 AM,RFC,WEST,AEP,AEPIMP,2820.604,True
7/4/2018 9:00:00 AM,7/4/2018 5:00:00 AM,RFC,WEST,AEP,AEPKPT,603.644,True
7/4/2018 9:00:00 AM,7/4/2018 5:00:00 AM,RFC,WEST,AEP,AEPOPT,5706.985,True
7/4/2018 10:00:00 AM,7/4/2018 6:00:00 AM,RFC,WEST,AEP,AEPAPT,3860.990,True
7/4/2018 10:00:00 AM,7/4/2018 6:00:00 AM,RFC,WEST,AEP,AEPIMP,2714.619,True
7/4/2018 10:00:00 AM,7/4/2018 6:00:00 AM,RFC,WEST,AEP,AEPKPT,601.450,True
